Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.047393586	0.024328787	0.111996815	-0.02112623	16000	-1.1175871e-08	0.00804853	-0.005839176	-0.0033554514	1.3564423	0.008066007	0.0734375	127.0	39.41050958633423	0.38286883	0.4240467	1.5776162	0.026137698	0.0	0.0
1	500.0	0.07130955	0.03956387	0.2146037	-0.015714763	32000	-8.381903e-09	0.0062721726	-0.0069455486	-0.0015276634	1.3564423	0.010239603	0.112187505	127.0	78.83162379264832	0.46867043	0.48465976	2.5518696	0.02993723	0.0	0.0
2	500.0	0.12621538	0.06011881	0.32078257	-0.0077517014	48000	1.1175871e-08	0.02291893	-0.009896487	-0.00883216	1.3564423	0.010041912	0.120875	127.0	117.96206426620483	0.9540049	0.9318704	4.8569465	0.14332935	0.0	0.0
3	500.0	0.29370007	0.11286832	0.7592025	0.037814893	64000	1.8626451e-08	0.044310335	-0.008935974	-0.026969437	1.3564423	0.008841597	0.089875	127.0	155.02952218055725	1.566282	1.2940019	5.2585588	0.04709163	0.0	0.0
4	500.0	0.5613907	0.21379758	1.3548273	-0.05672685	80000	1.8626451e-08	0.10126245	-0.0099013755	-0.042636864	1.3564423	0.009256342	0.101875	127.0	190.6977972984314	2.1066384	1.711433	7.8205	0.32629725	0.0	0.0
5	500.0	0.48531273	0.21502866	1.08474	-0.1335628	96000	-1.8626451e-08	0.044200614	-0.012257456	-0.015478839	1.3564423	0.007203932	0.121125	127.0	230.9415180683136	2.2629313	1.468525	5.53014	0.21907368	0.0	0.0
6	500.0	0.70534706	0.3177366	1.564838	-0.1134887	112000	3.7252903e-09	0.41775697	-0.009209292	-0.19176365	1.3564423	0.007752949	0.09550001	127.0	271.0451600551605	4.9347043	3.1445847	11.31548	0.5111987	0.0	0.0
7	500.0	1.4101821	0.56099546	2.8183908	-0.1839439	128000	2.9802322e-08	1.7392867	-0.0083549265	-0.81649476	1.3564423	0.006140615	0.082875	127.0	305.8566298484802	9.44711	5.514697	20.429537	1.4392369	0.0	0.0
8	500.0	2.5394757	1.053479	5.256133	-0.29392505	144000	3.7252903e-09	2.3308592	-0.009949939	-0.82419544	1.3564423	0.0067330236	0.087375	127.0	341.7154870033264	13.67845	6.340136	30.621414	4.1053557	0.0	0.0
9	500.0	3.7986987	1.3012143	6.651196	-0.67422277	160000	-2.2351742e-08	3.8864474	-0.008564383	-1.6546142	1.3564423	0.006296052	0.071687505	127.0	380.767452955246	21.557007	8.123622	37.83806	7.3669934	0.0	0.0
10	500.0	5.413125	1.66735	8.100938	-0.7228878	176000	5.9604645e-08	3.6394324	-0.009566009	-1.0342516	1.3564423	0.007609753	0.0844375	127.0	420.9105911254883	27.098394	7.332076	45.054417	13.728248	0.0	0.0
11	500.0	6.507424	1.8985574	9.045262	-1.3937039	192000	1.4901161e-08	2.699534	-0.0086897	-0.42422217	1.3564423	0.004970365	0.061375	127.0	458.9962055683136	28.943804	6.2268114	43.94003	17.170912	0.0	0.0
12	500.0	7.0226173	1.8350211	9.205983	0.9054247	208000	-2.2351742e-08	4.106062	-0.009954582	-0.70274603	1.3564423	0.0065993275	0.080375	127.0	494.6459574699402	31.90143	7.756112	48.85452	14.393702	0.0	0.0
13	500.0	7.6499677	1.8582666	9.787328	0.48914856	224000	-5.9604645e-08	2.6522832	-0.009838205	-0.46791673	1.3564423	0.0077326363	0.0703125	127.0	535.1140229701996	35.297287	5.9022694	45.4781	23.252254	0.0	0.0
14	500.0	8.117909	1.9433513	10.192489	0.3962071	240000	2.2351742e-08	4.6250515	-0.010572974	-0.32275093	1.3564423	0.008545304	0.079875	127.0	576.9473569393158	36.044403	8.894194	69.42929	18.13161	0.0	0.0
15	500.0	8.55094	1.812365	10.5164795	0.8027457	256000	7.450581e-09	10.422573	-0.009982126	-0.9910402	1.3564423	0.006571836	0.0825	127.0	618.3120687007904	40.92782	12.781642	98.55075	25.024231	0.0	0.0
