Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.07197789	0.013970084	0.13120799	0.024299935	16000	1.8626451e-09	0.0025343555	-0.0061427043	-0.001447337	1.3564423	0.006627571	0.055375002	127.0	42.26525831222534	0.23593894	0.17813505	0.751488	0.03733241	0.0	0.0
1	500.0	0.05266927	0.018584229	0.11476222	0.0050401613	32000	0.0	0.0021037138	-0.007859135	-0.00084040436	1.3564423	0.009535816	0.0945625	127.0	84.36016154289246	0.32510453	0.2502694	1.1358298	0.062036727	0.0	0.0
2	500.0	0.087288514	0.035566956	0.18181445	-0.006849574	48000	-7.450581e-09	0.0027795222	-0.012015425	-0.0010087974	1.3564423	0.009904298	0.1285	127.0	121.94970273971558	0.5257373	0.30948308	1.5442681	0.06282206	0.0	0.0
3	500.0	0.14420737	0.03777353	0.2832291	0.03173268	64000	-7.450581e-09	0.0045182826	-0.007909368	-0.001630971	1.3564423	0.0073595303	0.072625	127.0	162.49156951904297	0.7967172	0.32676637	1.5355014	0.27424175	0.0	0.0
4	500.0	0.19844244	0.040559143	0.31484216	0.0953379	80000	0.0	0.008164217	-0.010047279	-0.004105638	1.3564423	0.007249093	0.081999995	127.0	203.04031896591187	1.0222813	0.38086838	2.155218	0.47859263	0.0	0.0
5	500.0	0.25173318	0.05759634	0.4125216	0.09525226	96000	-7.450581e-09	0.013353379	-0.0142871495	-0.00455375	1.3564423	0.0079202	0.123125	127.0	250.8505928516388	1.472316	0.5649908	3.2442026	0.6745932	0.0	0.0
6	500.0	0.3528316	0.076598644	0.6788599	0.13385724	112000	0.0	0.047115073	-0.009717372	-0.01971807	1.3564423	0.0075793434	0.09775	127.0	292.341833114624	2.250495	0.85596186	4.2344255	0.9417833	0.0	0.0
7	500.0	0.5530649	0.1593234	1.1080202	0.23360777	128000	1.1175871e-08	0.05523607	-0.008026959	-0.02681164	1.3564423	0.00620392	0.08275	127.0	332.5155246257782	2.961015	1.1280953	5.6218486	0.5437938	0.0	0.0
8	500.0	0.84140086	0.33173567	1.7177007	0.1438292	144000	-1.4901161e-08	0.44799647	-0.0062202783	-0.26797152	1.3564423	0.007877117	0.080125	127.0	386.67115020751953	5.1908092	2.945763	12.826758	1.6185889	0.0	0.0
9	500.0	1.3439362	0.7186882	3.1595824	-0.038860686	160000	0.0	0.56374013	-0.008500822	-0.2777382	1.3564423	0.01076426	0.109	127.0	444.8309953212738	6.8909354	4.4026723	15.507744	1.0435232	0.0	0.0
