Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.083788425	0.015812704	0.1444268	-0.005852552	16000	-4.656613e-09	0.013252813	-0.0055558737	-0.005934188	1.3564423	0.008157648	0.0545	127.0	43.87582778930664	0.7434927	0.4337782	1.7343067	0.16230023	0.0	0.0
1	500.0	0.12828454	0.05713929	0.25364956	-0.02480733	32000	-3.7252903e-09	0.028455526	-0.006324983	-0.00918036	1.3564423	0.0061476803	0.0729375	127.0	81.34443402290344	1.1890376	0.78955704	3.210342	0.13028419	0.0	0.0
2	500.0	0.2210148	0.090910956	0.44383863	-0.02902702	48000	2.6077032e-08	0.036606167	-0.0085246395	-0.0086718965	1.3564423	0.0073958538	0.0965	127.0	119.43834710121155	1.6159573	0.9961473	4.992046	0.42746046	0.0	0.0
3	500.0	0.35297284	0.10611098	0.5917778	0.0010275543	64000	-4.4703484e-08	0.13501726	-0.007848026	-0.0579564	1.3564423	0.0075269565	0.079875	127.0	157.6815161705017	2.7677722	1.89282	8.996925	0.71613526	0.0	0.0
4	500.0	0.6572821	0.14785038	1.1461004	0.18060927	80000	2.9802322e-08	0.29204878	-0.010914429	-0.16924956	1.3564423	0.0088518895	0.1063125	127.0	198.2771017551422	4.565051	2.5293105	12.094769	0.9740895	0.0	0.0
5	500.0	1.1965716	0.37005377	2.3805695	0.29856533	96000	-2.2351742e-08	2.0123682	-0.008588809	-1.2300483	1.3564423	0.006497081	0.0814375	127.0	236.29136204719543	10.005131	5.174311	24.843199	2.636382	0.0	0.0
6	500.0	2.635599	0.823882	4.371596	0.27227074	112000	3.7252903e-09	2.3013496	-0.0074577206	-1.1755857	1.3564423	0.0055964133	0.06362499	127.0	275.61472964286804	15.203201	6.1837373	28.914324	3.2951396	0.0	0.0
7	500.0	3.7167296	1.3667142	6.421567	-0.25764704	128000	1.4901161e-08	1.5251317	-0.009931115	-0.43718854	1.3564423	0.0069240825	0.096375	127.0	312.34710144996643	17.51877	5.0026207	30.994047	9.298495	0.0	0.0
8	500.0	4.748087	1.5787094	7.208382	-0.24592859	144000	0.0	1.9157034	-0.009598844	-0.2833285	1.3564423	0.007721111	0.090312496	127.0	353.5191009044647	21.760994	6.6825304	41.671963	12.55279	0.0	0.0
9	500.0	5.299238	1.5411738	7.613452	0.3614617	160000	7.450581e-09	2.5691557	-0.009248811	-0.42352757	1.3564423	0.007959713	0.08225	127.0	392.43724942207336	24.680397	6.266995	42.76479	14.421388	0.0	0.0
10	500.0	6.30479	1.4983789	8.344025	0.98656887	176000	-7.450581e-09	4.6170545	-0.008562706	-0.803697	1.3564423	0.004977531	0.067125	127.0	428.93895721435547	30.066036	9.06685	49.321	14.58118	0.0	0.0
11	500.0	6.9763303	1.5315126	9.006629	0.7796955	192000	1.4901161e-08	5.158702	-0.007863032	-0.54155564	1.3564423	0.0059111333	0.065937504	127.0	483.64860367774963	30.28553	8.357762	49.346756	19.778692	0.0	0.0
12	500.0	7.3020706	1.2263099	9.042513	0.26896513	208000	1.4901161e-08	5.3414793	-0.0076453295	-0.29237962	1.3564423	0.0069260243	0.0568125	127.0	542.0306606292725	33.878284	9.843451	49.017677	16.209667	0.0	0.0
13	500.0	7.6092186	1.2112396	9.259767	1.0055947	224000	0.0	4.5991073	-0.0076789167	-0.4942128	1.3564423	0.008392156	0.051437497	127.0	602.2400119304657	30.056189	7.9480343	48.24791	19.981037	0.0	0.0
14	500.0	7.2739377	1.0654762	8.789399	1.2876195	240000	-2.4214387e-08	7.747614	-0.007562739	-1.0065029	1.3564423	0.005991838	0.054125004	127.0	649.429853439331	34.816452	12.685801	71.071495	21.062376	0.0	0.0
15	500.0	7.594573	1.111838	9.901902	1.9297267	256000	3.7252903e-09	8.030067	-0.007972563	-1.3977749	1.3564423	0.0083344765	0.06343751	127.0	688.4771177768707	31.229692	12.574882	73.633575	19.461645	0.0	0.0
